"Date","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive","y"
"2010-03-25",11,8,6,16,6,7,6,20,20,22,1
"2010-03-26",15,7,9,15,5,12,4,10,25,15,1
"2010-03-29",10,12,6,20,7,12,2,10,25,16,1
"2010-03-30",17,11,9,22,8,10,3,17,26,20,1
"2010-03-31",19,4,8,20,4,12,4,11,27,10,0
"2010-04-01",10,12,4,16,8,6,4,15,23,23,1
"2010-04-05",16,6,3,14,4,11,6,10,21,12,1
"2010-04-06",10,13,7,17,9,9,10,25,22,21,0
"2010-04-07",20,13,9,25,8,10,8,14,28,23,0
"2010-04-08",13,8,6,11,6,5,0,17,24,20,1
"2010-04-09",13,15,7,19,10,10,6,15,20,28,1
"2010-04-12",8,8,6,12,6,9,5,14,18,25,1
"2010-04-13",15,6,6,19,3,12,3,12,26,9,1
"2010-04-14",11,8,4,10,6,9,5,14,18,15,1
"2010-04-15",12,5,7,13,9,10,3,14,21,17,1
"2010-04-16",13,6,7,18,6,14,5,11,26,19,0
"2010-04-19",17,17,8,24,12,13,12,18,27,27,1
"2010-04-20",10,8,6,13,6,9,5,13,21,11,1
"2010-04-21",14,18,4,18,6,11,8,17,23,21,1
"2010-04-22",16,11,5,21,8,10,5,18,28,18,1
"2010-04-23",12,13,6,10,9,10,7,17,19,23,1
"2010-04-26",7,4,4,11,3,5,1,12,11,15,1
"2010-04-27",5,12,2,8,5,2,6,13,11,17,0
"2010-04-28",15,7,13,24,3,15,5,18,34,18,1
"2010-04-29",15,7,8,20,5,12,5,13,24,15,1
"2010-04-30",11,15,7,19,10,10,5,23,27,26,0
"2010-05-03",13,8,7,15,6,9,1,16,24,25,1
"2010-05-04",7,15,4,12,3,7,2,15,19,16,0
"2010-05-05",11,9,4,15,2,5,3,12,20,16,0
"2010-05-06",11,10,8,18,5,13,6,15,24,15,0
"2010-05-07",10,11,8,9,5,9,6,12,19,19,0
"2010-05-10",14,12,10,20,8,18,4,15,26,24,1
"2010-05-11",9,11,4,19,10,15,6,17,28,20,0
"2010-05-12",12,9,9,19,8,11,6,16,28,19,1
"2010-05-13",11,11,3,22,7,13,10,14,29,17,0
"2010-05-14",15,7,7,21,8,14,5,13,29,19,0
"2010-05-17",11,7,6,14,2,9,4,6,17,8,1
"2010-05-18",17,14,8,21,7,13,1,32,29,27,0
"2010-05-19",15,11,10,22,6,13,7,15,27,28,0
"2010-05-20",10,12,6,14,2,8,5,7,20,8,0
"2010-05-21",14,11,7,16,4,11,4,7,21,12,1
"2010-05-24",12,9,5,14,4,3,3,17,24,19,0
"2010-05-25",15,8,7,21,7,12,7,15,33,18,0
"2010-05-26",10,9,7,9,5,10,2,18,19,20,0
"2010-05-27",12,13,8,23,8,12,7,20,26,36,1
"2010-05-28",14,10,8,18,4,13,9,14,29,14,0
"2010-06-01",10,14,2,17,6,12,5,22,17,30,0
"2010-06-02",19,19,5,21,7,16,6,22,32,24,1
